"GTEXID","Age","ALOX5"
"GTEX-13FTW-1126-SM-5J2NV","40-49",2.601620458
"GTEX-13NYB-1026-SM-5IFH3","40-49",0.125135289
"GTEX-14AS3-0126-SM-5Q5F4","40-49",1.369544654
"GTEX-14JG1-1626-SM-664NH","40-49",-0.290165919
"GTEX-15RJ7-2026-SM-6LPJ4","40-49",2.741850935
"GTEX-15RJE-1126-SM-6LPI5","40-49",2.39531237
"GTEX-15SHU-1826-SM-7KUKS","40-49",-0.292858683
"GTEX-15UF7-0426-SM-HAV2G","40-49",1.524003479
"GTEX-17EVP-1026-SM-7IGOZ","40-49",1.160242556
"GTEX-17MF6-1126-SM-7DUFS","40-49",1.524003479
"GTEX-1B932-1426-SM-793AN","40-49",2.526714874
"GTEX-1CAMQ-1426-SM-7MKFL","40-49",1.10543001
"GTEX-1EN7A-2026-SM-7MGY4","40-49",1.269996617
"GTEX-1GF9X-0426-SM-7MKHN","40-49",2.391132552
"GTEX-1H11D-0826-SM-9OSWB","40-49",0.926227195
"GTEX-1H1DF-1326-SM-9WPPR","40-49",1.109748347
"GTEX-1HBPH-2626-SM-A96TV","40-49",0.49036475
"GTEX-1J1OQ-0826-SM-CXZJG","40-49",1.524003479
"GTEX-1KD4Q-1526-SM-D4P3L","40-49",0.011624445
"GTEX-1MJIX-0726-SM-DPRYP","40-49",1.524003479
"GTEX-1QP6S-1326-SM-DPRZ8","40-49",0.88411336
"GTEX-P78B-1326-SM-3P611","40-49",2.033877544
"GTEX-Q2AG-1126-SM-48U1P","40-49",1.568075896
"GTEX-Q734-0326-SM-48U15","40-49",2.123073504
"GTEX-RWSA-1426-SM-47JXA","40-49",1.340112158
"GTEX-UPK5-1426-SM-4JBHH","40-49",2.363084148
"GTEX-W5X1-0126-SM-HLJRF","40-49",1.892200597
"GTEX-WFON-1726-SM-4LVMQ","40-49",2.791976561
"GTEX-WYVS-1926-SM-4PQZ2","40-49",3.346843454
"GTEX-WZTO-0626-SM-4PQYY","40-49",-0.496099737
"GTEX-X3Y1-2726-SM-4PQZH","40-49",2.12344769
"GTEX-Y5LM-0426-SM-4VBRO","40-49",2.026938127
"GTEX-YB5E-0326-SM-5IFHU","40-49",1.524003479
"GTEX-YEC4-0826-SM-5P9FV","40-49",2.117099891
"GTEX-YFC4-1526-SM-5IFJS","40-49",2.626714799
"GTEX-Z9EW-0426-SM-5CVM9","40-49",1.833558055
"GTEX-ZAB4-0826-SM-5LU9D","40-49",1.524003479
"GTEX-ZPU1-0826-SM-57WG2","40-49",1.758072873
"GTEX-11DXZ-0126-SM-5EGGY","50-59",1.77942363
"GTEX-11NUK-1226-SM-5P9GM","50-59",0.510648036
"GTEX-11ZVC-0726-SM-5FQT9","50-59",0.041915803
"GTEX-12WSG-0626-SM-5FQTQ","50-59",2.519436227
"GTEX-12WSI-0226-SM-5GCNA","50-59",0.287495936
"GTEX-12WSL-0226-SM-5CVMJ","50-59",2.057776033
"GTEX-13112-1426-SM-5EGH8","50-59",0.536669645
"GTEX-131XE-0326-SM-5LZVO","50-59",1.524003479
"GTEX-131XH-0626-SM-5LZWH","50-59",-0.303950974
"GTEX-132AR-0426-SM-5IFH8","50-59",2.853275117
"GTEX-139YR-0226-SM-5IFEM","50-59",3.130986864
"GTEX-13FLV-0326-SM-5N9DJ","50-59",1.052673247
"GTEX-13N11-0926-SM-5IJG2","50-59",2.813132666
"GTEX-13NZ9-1326-SM-5MR3V","50-59",1.797834769
"GTEX-13OVJ-1026-SM-5IFGI","50-59",1.524003479
"GTEX-13OVL-0726-SM-HAV29","50-59",1.470968893
"GTEX-13OW6-2626-SM-5IFF2","50-59",0.411740784
"GTEX-13PVQ-1526-SM-5IFEQ","50-59",2.548387301
"GTEX-13SLX-1226-SM-5S2Q6","50-59",0.602988896
"GTEX-13VXU-0926-SM-5IFFH","50-59",-0.482839223
"GTEX-13X6J-1826-SM-5TDCT","50-59",-0.360010331
"GTEX-144GL-1426-SM-5O9BO","50-59",-0.522322672
"GTEX-145LU-1326-SM-5LU9N","50-59",0.383618592
"GTEX-145MF-0826-SM-5QGQA","50-59",0.353639464
"GTEX-146FH-1526-SM-5NQBU","50-59",1.77097278
"GTEX-147F4-1426-SM-5LUA8","50-59",1.363614052
"GTEX-14A5I-1726-SM-5QGQ5","50-59",-0.093528039
"GTEX-14BIL-1326-SM-5O9CZ","50-59",0.918393868
"GTEX-14C38-1526-SM-5RQJ7","50-59",2.882230233
"GTEX-14E1K-0326-SM-5S2PE","50-59",0.417876813
"GTEX-14PHX-0526-SM-664NW","50-59",2.802019463
"GTEX-15SZO-1226-SM-6LPIP","50-59",0.797751781
"GTEX-17HGU-1826-SM-7IGQM","50-59",1.569233445
"GTEX-17HHE-0126-SM-79398","50-59",1.6826497
"GTEX-17HII-1026-SM-7IGLY","50-59",2.086182518
"GTEX-18465-1626-SM-7LG6N","50-59",-0.049543531
"GTEX-18A7A-1526-SM-72D69","50-59",-0.172037932
"GTEX-1A32A-0826-SM-72D5C","50-59",2.457807017
"GTEX-1A8FM-1226-SM-7IGMD","50-59",0.420832692
"GTEX-1AMFI-0826-SM-731DV","50-59",1.99195986
"GTEX-1B8SG-1326-SM-79ONT","50-59",3.018468604
"GTEX-1B933-1226-SM-731DW","50-59",0.368768349
"GTEX-1C6VQ-1626-SM-79OO1","50-59",1.338532809
"GTEX-1E2YA-1226-SM-7MGY3","50-59",1.524003479
"GTEX-1F75A-1626-SM-9JGGT","50-59",0.549669171
"GTEX-1GN1U-0926-SM-9WPPY","50-59",1.79868512
"GTEX-1GZ4I-1526-SM-9OSW9","50-59",-0.009673892
"GTEX-1HB9E-0626-SM-AHZ4K","50-59",2.813699116
"GTEX-1HBPI-1026-SM-AHZ4N","50-59",0.934991975
"GTEX-1HCU7-1726-SM-B2LX9","50-59",2.463512603
"GTEX-1HCVE-1526-SM-B2LWW","50-59",1.482228746
"GTEX-1ICLY-1526-SM-C1YS4","50-59",3.157405956
"GTEX-1JMLX-1326-SM-CXZJO","50-59",1.800512714
"GTEX-1K9T9-0726-SM-CXZJZ","50-59",2.402708536
"GTEX-1KAFJ-0726-SM-CXZKF","50-59",1.138997906
"GTEX-1KANB-2226-SM-DHXJW","50-59",0.547815022
"GTEX-1KD5A-1226-SM-CXZK7","50-59",1.503506482
"GTEX-1LB8K-1926-SM-HLJQQ","50-59",1.715344295
"GTEX-1LGRB-0626-SM-CNNQH","50-59",2.384392475
"GTEX-1LH75-0926-SM-EAZ5C","50-59",2.456106969
"GTEX-1LSNL-2026-SM-HLJQ4","50-59",0.87721811
"GTEX-1OJC4-1126-SM-HLJQI","50-59",-0.856092031
"GTEX-1QP66-0226-SM-DPRXS","50-59",2.822167234
"GTEX-1S3DN-1126-SM-HLJQO","50-59",2.707111713
"GTEX-O5YW-0826-SM-HK7A3","50-59",1.388013151
"GTEX-OHPM-0826-SM-HLJRC","50-59",1.142021259
"GTEX-OXRK-1226-SM-HLJR8","50-59",1.727968362
"GTEX-QDVN-0826-SM-48TZ2","50-59",1.524003479
"GTEX-QEL4-1226-SM-447A4","50-59",2.689249951
"GTEX-QV44-0326-SM-C1YQX","50-59",1.426742443
"GTEX-QXCU-1826-SM-HLJS6","50-59",2.391759473
"GTEX-R53T-0326-SM-48FEC","50-59",1.532715921
"GTEX-RM2N-1926-SM-48FCU","50-59",2.311133966
"GTEX-RN64-1826-SM-48FDV","50-59",0.608847083
"GTEX-RNOR-1426-SM-48FDJ","50-59",-0.11517861
"GTEX-RU72-1426-SM-46MUF","50-59",0.920735379
"GTEX-S32W-1926-SM-4AD63","50-59",1.524003479
"GTEX-S7SE-1326-SM-HLJRN","50-59",-0.117900093
"GTEX-SIU8-1226-SM-HLJRG","50-59",-0.55143096
"GTEX-T6MN-1226-SM-3NMA5","50-59",1.10547024
"GTEX-TKQ2-1726-SM-4DXUP","50-59",2.132468266
"GTEX-VUSG-0126-SM-4KL1X","50-59",1.67878406
"GTEX-WK11-1326-SM-4M9QU","50-59",-0.800118509
"GTEX-WL46-1726-SM-HAUZC","50-59",-0.816763776
"GTEX-WVLH-2126-SM-EYYWD","50-59",-0.275197828
"GTEX-WWYW-1026-SM-GQ1CM","50-59",1.804697918
"GTEX-WY7C-0726-SM-4ONCB","50-59",2.055035963
"GTEX-X261-1726-SM-4PQYT","50-59",0.530720009
"GTEX-XBEC-1526-SM-4AT68","50-59",1.366699889
"GTEX-XPVG-1126-SM-HLJRE","50-59",2.930841397
"GTEX-XXEK-1126-SM-4BRUX","50-59",1.185492347
"GTEX-Y111-0726-SM-EYYVM","50-59",0.256201516
"GTEX-Y3IK-0326-SM-HLJRD","50-59",3.218923726
"GTEX-ZAB5-0426-SM-5CVMI","50-59",1.672787385
"GTEX-ZEX8-0826-SM-4WKHK","50-59",2.253786609
"GTEX-ZF2S-3026-SM-4WWCH","50-59",1.997415262
"GTEX-ZVP2-0626-SM-51MSO","50-59",2.440380852
"GTEX-ZVT4-0626-SM-5E45T","50-59",0.637498962
"GTEX-ZZPU-0426-SM-5GZYH","50-59",2.245596058
"GTEX-111FC-1226-SM-HAV27","60-69",-0.796931684
"GTEX-11DXY-0526-SM-5EGGQ","60-69",-1.976611209
"GTEX-11EMC-0326-SM-HAV2K","60-69",-0.178782875
"GTEX-11GSP-0626-SM-5986T","60-69",0.84567069
"GTEX-11NV4-1326-SM-5HL6V","60-69",0.33843012
"GTEX-11OF3-0726-SM-5BC4Z","60-69",-0.508598378
"GTEX-11TUW-1726-SM-5BC5C","60-69",2.477537454
"GTEX-11WQC-0726-SM-5EQMR","60-69",1.227790356
"GTEX-11ZTS-1426-SM-5EQMM","60-69",-0.977250123
"GTEX-1212Z-0226-SM-59HLF","60-69",0.455460057
"GTEX-12696-0826-SM-5EGGE","60-69",1.830944862
"GTEX-1269C-0626-SM-5FQSS","60-69",1.621936985
"GTEX-12WSD-1426-SM-5GCN9","60-69",0.919362967
"GTEX-12WSM-0726-SM-5GCOW","60-69",0.348708328
"GTEX-12ZZZ-1326-SM-59HKW","60-69",0.653115063
"GTEX-13113-1326-SM-5GCOI","60-69",2.098702517
"GTEX-131YS-1626-SM-5HL6C","60-69",-0.363454723
"GTEX-132NY-0926-SM-5P9G3","60-69",0.900490089
"GTEX-1399T-0826-SM-5IFES","60-69",1.081094158
"GTEX-139TS-1426-SM-5IFJD","60-69",1.192629749
"GTEX-139TU-0826-SM-5IJFG","60-69",1.279655521
"GTEX-13FTZ-0726-SM-5IFFY","60-69",-0.495936964
"GTEX-13G51-0626-SM-HK7AV","60-69",-1.286406233
"GTEX-13N2G-0926-SM-5IFGJ","60-69",0.842793833
"GTEX-13O1R-2026-SM-5KM3N","60-69",3.407135175
"GTEX-13O3O-1826-SM-5IFGW","60-69",1.850483412
"GTEX-13PVR-0126-SM-5S2PY","60-69",2.716626609
"GTEX-13QJC-0726-SM-5RQJK","60-69",0.321916553
"GTEX-13S7M-1126-SM-HAV2A","60-69",1.665088008
"GTEX-145MO-2326-SM-5NQ9K","60-69",0.668745458
"GTEX-14753-1626-SM-5NQ9L","60-69",-0.267480712
"GTEX-147GR-1326-SM-7IGLB","60-69",1.539352398
"GTEX-147JS-1126-SM-5RQIW","60-69",0.765831741
"GTEX-148VI-0626-SM-5TDDH","60-69",1.857563051
"GTEX-1497J-0726-SM-5Q5D1","60-69",1.524003479
"GTEX-14DAQ-1726-SM-5S2R2","60-69",0.002191232
"GTEX-14PJO-1726-SM-68719","60-69",1.703455127
"GTEX-14XAO-0226-SM-68728","60-69",1.524003479
"GTEX-15CHQ-0926-SM-HAV1W","60-69",1.636246425
"GTEX-15DYW-1326-SM-6LPIV","60-69",1.262697738
"GTEX-16MT8-2126-SM-HAV1Q","60-69",2.866085041
"GTEX-16Z82-1426-SM-HAV2I","60-69",2.199113217
"GTEX-18A66-2026-SM-7189C","60-69",2.539841215
"GTEX-18A6Q-2026-SM-718AQ","60-69",-0.384760755
"GTEX-18D9B-1526-SM-7KFRK","60-69",1.524003479
"GTEX-1A8G7-1126-SM-731ED","60-69",1.646692623
"GTEX-1AX8Z-1026-SM-7189R","60-69",2.691442598
"GTEX-1AX9I-1626-SM-72D5D","60-69",0.756169328
"GTEX-1B8L1-0726-SM-7P8RT","60-69",-0.933986607
"GTEX-1B996-1426-SM-7EPIA","60-69",1.639769311
"GTEX-1CB4F-1726-SM-7MGXH","60-69",2.299906938
"GTEX-1CB4J-0726-SM-7IGN8","60-69",2.153208683
"GTEX-1EH9U-1126-SM-7IGLU","60-69",2.151352291
"GTEX-1EKGG-1226-SM-7IGNO","60-69",-0.235044145
"GTEX-1GF9V-1226-SM-7MKGY","60-69",0.976708228
"GTEX-1GF9W-0826-SM-7MKHI","60-69",2.788132328
"GTEX-1GN2E-0926-SM-9WPOH","60-69",0.165674015
"GTEX-1GN73-1126-SM-9OSW5","60-69",1.668305238
"GTEX-1H1CY-1026-SM-HLJS4","60-69",-0.748589927
"GTEX-1H23P-1826-SM-GA91S","60-69",2.971245558
"GTEX-1HCU6-2026-SM-GA91U","60-69",2.720797217
"GTEX-1I1GR-1526-SM-CNNQE","60-69",0.214174553
"GTEX-1I1GV-1026-SM-GA8Z8","60-69",1.4963294
"GTEX-1I1HK-1126-SM-AHZ2L","60-69",-0.051769965
"GTEX-1IKJJ-1526-SM-C1YSC","60-69",-0.079720422
"GTEX-1IKK5-0326-SM-C1YPY","60-69",3.192967394
"GTEX-1J8EW-1626-SM-C1YQ8","60-69",0.557797273
"GTEX-1JJ6O-0826-SM-CXZJL","60-69",2.240323489
"GTEX-1JJEA-1526-SM-CNNPK","60-69",0.252282429
"GTEX-1NV8Z-1626-SM-DPRYT","60-69",-1.387502177
"GTEX-1PPGY-2226-SM-F2I29","60-69",-1.039070221
"GTEX-1QCLZ-1226-SM-EAZ49","60-69",1.635796174
"GTEX-1RQEC-1126-SM-EAZ5E","60-69",0.12797658
"GTEX-1RQED-0726-SM-HLJQL","60-69",-0.719509223
"GTEX-1S5VW-1826-SM-EAZ53","60-69",1.199951828
"GTEX-N7MS-1825-SM-HLJR9","60-69",-1.419449267
"GTEX-O5YV-0726-SM-EV798","60-69",1.802602698
"GTEX-OIZF-0826-SM-7MKH9","60-69",1.609575323
"GTEX-OOBJ-0826-SM-3NB2K","60-69",2.518391618
"GTEX-REY6-1226-SM-48FDR","60-69",1.208442345
"GTEX-RTLS-1326-SM-46MUN","60-69",0.548347841
"GTEX-S4Z8-0526-SM-4AD4T","60-69",2.209537585
"GTEX-SJXC-1226-SM-4DM78","60-69",-0.488574468
"GTEX-UTHO-2426-SM-4JBHD","60-69",2.129576472
"GTEX-WQUQ-1926-SM-4M9QM","60-69",0.935437117
"GTEX-X4EO-1126-SM-4QARQ","60-69",1.278014493
"GTEX-X4EP-1026-SM-4QAS5","60-69",1.794478252
"GTEX-X4XY-1626-SM-46MVN","60-69",1.856997638
"GTEX-Y5V5-0926-SM-4VBPZ","60-69",1.03936303
"GTEX-YECK-1926-SM-4W21H","60-69",0.482373329
"GTEX-ZF29-2026-SM-DNZYW","60-69",2.778050839
"GTEX-ZVT3-1626-SM-5GU66","60-69",0.205217327
"GTEX-ZYY3-0626-SM-5NQ6W","60-69",1.817525028
